[ 2025-06-25 14:05:52,133 ] 61 RERAScrapper - INFO - Browser initialized successfully.
[ 2025-06-25 14:05:55,555 ] 69 RERAScrapper - INFO - Navigated to URL: https://rera.karnataka.gov.in/viewAllProjects
[ 2025-06-25 14:05:55,725 ] 82 RERAScrapper - INFO - City 'Vijayapura' selected from dropdown.
[ 2025-06-25 14:06:00,504 ] 89 RERAScrapper - INFO - Select Button Clicked.
[ 2025-06-25 14:06:14,664 ] 101 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-25 14:06:14,697 ] 130 RERAScrapper - INFO - Home Table JSON 'home_table_json' scrapped.
[ 2025-06-25 14:06:15,929 ] 168 RERAScrapper - INFO - Promoter Details 'promoter_details' scrapped.
[ 2025-06-25 14:06:16,003 ] 174 RERAScrapper - INFO - Authorized Signatory Detail 'authorized_signatory_details' scrapped.
[ 2025-06-25 14:06:17,698 ] 180 RERAScrapper - INFO - Project Member Details 'project_member_details' scrapped.
[ 2025-06-25 14:06:17,722 ] 186 RERAScrapper - INFO - Project Land Owner Details 'project_land_owner_details' scrapped.
[ 2025-06-25 14:06:17,752 ] 192 RERAScrapper - INFO - RERA Registration Details with any other State/UTs 'rera_registration_details_with_any_details' scrapped.
[ 2025-06-25 14:06:17,774 ] 198 RERAScrapper - INFO - Previous Project Details (Last 5 years only) 'previous_project_details' scrapped.
[ 2025-06-25 14:06:17,813 ] 207 RERAScrapper - INFO - Project Details page clicked.
[ 2025-06-25 14:06:18,619 ] 214 RERAScrapper - INFO - Project Details 'project_details' scrapped.
[ 2025-06-25 14:06:18,793 ] 220 RERAScrapper - INFO - Development Details 'development_details' scrapped.
[ 2025-06-25 14:06:19,087 ] 226 RERAScrapper - INFO - External Development Work 'external_development_work' scrapped.
[ 2025-06-25 14:06:19,112 ] 232 RERAScrapper - INFO - Other External Development Work 'other_external_development_work' scrapped.
[ 2025-06-25 14:06:19,326 ] 238 RERAScrapper - INFO - Project Bank ( Escrow Account ) Details 'project_bank_details' scrapped.
[ 2025-06-25 14:06:19,353 ] 244 RERAScrapper - INFO - Project Agents 'project_agents' scrapped.
[ 2025-06-25 14:06:19,363 ] 251 RERAScrapper - INFO - Project Detail Table 'project_detail_table' scrapped.
[ 2025-06-25 14:06:19,395 ] 260 RERAScrapper - INFO - Uploaded Documents page clicked.
[ 2025-06-25 14:06:19,469 ] 267 RERAScrapper - INFO - Project Documents 'project_documents' scrapped.
[ 2025-06-25 14:06:21,178 ] 273 RERAScrapper - INFO - Project Approval 'project_approval' scrapped.
[ 2025-06-25 14:06:21,250 ] 279 RERAScrapper - INFO - Declaration 'declaration' scrapped.
[ 2025-06-25 14:06:21,274 ] 285 RERAScrapper - INFO - Other Documents 'other_documents' scrapped.
[ 2025-06-25 14:06:21,430 ] 291 RERAScrapper - INFO - Project Photo 'project_photo' scrapped.
[ 2025-06-25 14:06:21,439 ] 297 RERAScrapper - INFO - Financial Document 'financial_document' scrapped.
[ 2025-06-25 14:06:21,476 ] 306 RERAScrapper - INFO - Uploaded Complaint page clicked.
[ 2025-06-25 14:06:21,486 ] 315 RERAScrapper - WARNING - Promoter Table 'project_table' **not** scrapped.
[ 2025-06-25 14:06:21,522 ] 335 RERAScrapper - INFO - Completion Details page clicked.
[ 2025-06-25 14:06:24,149 ] 344 RERAScrapper - INFO - Completion Details 'completion_details' scrapped.
[ 2025-06-25 14:06:24,157 ] 352 RERAScrapper - WARNING - Development Details 'development_details_completion' **not** scrapped.
[ 2025-06-25 14:06:24,170 ] 358 RERAScrapper - WARNING - Uploaded Documents 'uploaded_documents' **not** scrapped.
[ 2025-06-25 14:06:24,182 ] 364 RERAScrapper - WARNING - Photos Uploaded 'photos_uploaded' **not** scrapped.
[ 2025-06-25 14:06:28,604 ] 435 RERAScrapper - INFO - Project Details Page Detected.
