[ 2025-06-25 13:53:08,082 ] 61 RERAScrapper - INFO - Browser initialized successfully.
[ 2025-06-25 13:53:12,118 ] 69 RERAScrapper - INFO - Navigated to URL: https://rera.karnataka.gov.in/viewAllProjects
[ 2025-06-25 13:53:12,278 ] 82 RERAScrapper - INFO - City 'Vijayapura' selected from dropdown.
[ 2025-06-25 13:53:16,720 ] 89 RERAScrapper - INFO - Select Button Clicked.
[ 2025-06-25 13:53:20,084 ] 101 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-25 13:53:20,117 ] 130 RERAScrapper - INFO - Home Table JSON 'home_table_json' scrapped.
[ 2025-06-25 13:53:21,375 ] 168 RERAScrapper - INFO - Promoter Details 'promoter_details' scrapped.
[ 2025-06-25 13:53:21,449 ] 174 RERAScrapper - INFO - Authorized Signatory Detail 'authorized_signatory_details' scrapped.
[ 2025-06-25 13:53:23,241 ] 180 RERAScrapper - INFO - Project Member Details 'project_member_details' scrapped.
[ 2025-06-25 13:53:23,261 ] 186 RERAScrapper - INFO - Project Land Owner Details 'project_land_owner_details' scrapped.
[ 2025-06-25 13:53:23,283 ] 192 RERAScrapper - INFO - RERA Registration Details with any other State/UTs 'rera_registration_details_with_any_details' scrapped.
[ 2025-06-25 13:53:23,303 ] 198 RERAScrapper - INFO - Previous Project Details (Last 5 years only) 'previous_project_details' scrapped.
[ 2025-06-25 13:53:23,340 ] 207 RERAScrapper - INFO - Project Details page clicked.
[ 2025-06-25 13:53:24,174 ] 214 RERAScrapper - INFO - Project Details 'project_details' scrapped.
[ 2025-06-25 13:53:24,346 ] 220 RERAScrapper - INFO - Development Details 'development_details' scrapped.
[ 2025-06-25 13:53:24,642 ] 226 RERAScrapper - INFO - External Development Work 'external_development_work' scrapped.
[ 2025-06-25 13:53:24,665 ] 232 RERAScrapper - INFO - Other External Development Work 'other_external_development_work' scrapped.
[ 2025-06-25 13:53:24,885 ] 238 RERAScrapper - INFO - Project Bank ( Escrow Account ) Details 'project_bank_details' scrapped.
[ 2025-06-25 13:53:24,908 ] 244 RERAScrapper - INFO - Project Agents 'project_agents' scrapped.
[ 2025-06-25 13:53:24,918 ] 251 RERAScrapper - INFO - Project Detail Table 'project_detail_table' scrapped.
[ 2025-06-25 13:53:24,953 ] 260 RERAScrapper - INFO - Uploaded Documents page clicked.
[ 2025-06-25 13:53:25,026 ] 267 RERAScrapper - INFO - Project Documents 'project_documents' scrapped.
[ 2025-06-25 13:53:26,767 ] 273 RERAScrapper - INFO - Project Approval 'project_approval' scrapped.
[ 2025-06-25 13:53:26,836 ] 279 RERAScrapper - INFO - Declaration 'declaration' scrapped.
[ 2025-06-25 13:53:26,862 ] 285 RERAScrapper - INFO - Other Documents 'other_documents' scrapped.
[ 2025-06-25 13:53:27,018 ] 291 RERAScrapper - INFO - Project Photo 'project_photo' scrapped.
[ 2025-06-25 13:53:27,027 ] 297 RERAScrapper - INFO - Financial Document 'financial_document' scrapped.
[ 2025-06-25 13:53:27,062 ] 306 RERAScrapper - INFO - Uploaded Complaint page clicked.
[ 2025-06-25 13:53:27,099 ] 335 RERAScrapper - INFO - Completion Details page clicked.
[ 2025-06-25 13:53:29,735 ] 344 RERAScrapper - INFO - Completion Details 'completion_details' scrapped.
[ 2025-06-25 13:53:29,744 ] 352 RERAScrapper - WARNING - Development Details 'development_details_completion' **not** scrapped.
[ 2025-06-25 13:53:29,753 ] 358 RERAScrapper - WARNING - Uploaded Documents 'uploaded_documents' **not** scrapped.
[ 2025-06-25 13:53:29,762 ] 364 RERAScrapper - WARNING - Photos Uploaded 'photos_uploaded' **not** scrapped.
[ 2025-06-25 13:53:34,368 ] 435 RERAScrapper - INFO - Project Details Page Detected.
[ 2025-06-25 13:53:49,204 ] 101 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-25 13:53:49,239 ] 130 RERAScrapper - INFO - Home Table JSON 'home_table_json' scrapped.
[ 2025-06-25 13:53:50,667 ] 168 RERAScrapper - INFO - Promoter Details 'promoter_details' scrapped.
[ 2025-06-25 13:53:50,675 ] 176 RERAScrapper - WARNING - Authorized Signatory Detail 'authorized_signatory_details' **************not************** scrapped.
[ 2025-06-25 13:53:50,684 ] 182 RERAScrapper - WARNING - Project Member Details 'project_member_details' **************not************** scrapped.
[ 2025-06-25 13:53:50,720 ] 186 RERAScrapper - INFO - Project Land Owner Details 'project_land_owner_details' scrapped.
[ 2025-06-25 13:53:50,730 ] 194 RERAScrapper - WARNING - RERA Registration Details with any other State/UTs 'rera_registration_details_with_any_details' **************not************** scrapped.
[ 2025-06-25 13:53:50,761 ] 198 RERAScrapper - INFO - Previous Project Details (Last 5 years only) 'previous_project_details' scrapped.
[ 2025-06-25 13:53:50,804 ] 207 RERAScrapper - INFO - Project Details page clicked.
[ 2025-06-25 13:53:52,093 ] 214 RERAScrapper - INFO - Project Details 'project_details' scrapped.
[ 2025-06-25 13:53:52,349 ] 220 RERAScrapper - INFO - Development Details 'development_details' scrapped.
[ 2025-06-25 13:53:52,787 ] 226 RERAScrapper - INFO - External Development Work 'external_development_work' scrapped.
[ 2025-06-25 13:53:52,823 ] 232 RERAScrapper - INFO - Other External Development Work 'other_external_development_work' scrapped.
[ 2025-06-25 13:53:53,133 ] 238 RERAScrapper - INFO - Project Bank ( Escrow Account ) Details 'project_bank_details' scrapped.
[ 2025-06-25 13:53:53,170 ] 244 RERAScrapper - INFO - Project Agents 'project_agents' scrapped.
[ 2025-06-25 13:53:53,180 ] 251 RERAScrapper - INFO - Project Detail Table 'project_detail_table' scrapped.
[ 2025-06-25 13:53:53,216 ] 260 RERAScrapper - INFO - Uploaded Documents page clicked.
[ 2025-06-25 13:53:53,316 ] 267 RERAScrapper - INFO - Project Documents 'project_documents' scrapped.
[ 2025-06-25 13:53:55,865 ] 273 RERAScrapper - INFO - Project Approval 'project_approval' scrapped.
[ 2025-06-25 13:53:55,960 ] 279 RERAScrapper - INFO - Declaration 'declaration' scrapped.
[ 2025-06-25 13:53:55,999 ] 285 RERAScrapper - INFO - Other Documents 'other_documents' scrapped.
[ 2025-06-25 13:53:56,038 ] 291 RERAScrapper - INFO - Project Photo 'project_photo' scrapped.
[ 2025-06-25 13:53:56,049 ] 297 RERAScrapper - INFO - Financial Document 'financial_document' scrapped.
[ 2025-06-25 13:53:56,091 ] 306 RERAScrapper - INFO - Uploaded Complaint page clicked.
[ 2025-06-25 13:53:56,131 ] 335 RERAScrapper - INFO - Completion Details page clicked.
[ 2025-06-25 13:53:59,009 ] 344 RERAScrapper - INFO - Completion Details 'completion_details' scrapped.
[ 2025-06-25 13:53:59,017 ] 352 RERAScrapper - WARNING - Development Details 'development_details_completion' **not** scrapped.
[ 2025-06-25 13:53:59,027 ] 358 RERAScrapper - WARNING - Uploaded Documents 'uploaded_documents' **not** scrapped.
[ 2025-06-25 13:53:59,039 ] 364 RERAScrapper - WARNING - Photos Uploaded 'photos_uploaded' **not** scrapped.
[ 2025-06-25 13:54:03,012 ] 435 RERAScrapper - INFO - Project Details Page Detected.
[ 2025-06-25 13:54:05,066 ] 443 RERAScrapper - WARNING - Table Disappeared
[ 2025-06-25 13:54:05,213 ] 82 RERAScrapper - INFO - City 'Vijayapura' selected from dropdown.
[ 2025-06-25 13:54:06,249 ] 89 RERAScrapper - INFO - Select Button Clicked.
[ 2025-06-25 13:54:23,624 ] 101 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-25 13:54:23,660 ] 130 RERAScrapper - INFO - Home Table JSON 'home_table_json' scrapped.
[ 2025-06-25 13:54:25,200 ] 168 RERAScrapper - INFO - Promoter Details 'promoter_details' scrapped.
[ 2025-06-25 13:54:25,389 ] 174 RERAScrapper - INFO - Authorized Signatory Detail 'authorized_signatory_details' scrapped.
[ 2025-06-25 13:54:25,430 ] 180 RERAScrapper - INFO - Project Member Details 'project_member_details' scrapped.
[ 2025-06-25 13:54:25,472 ] 186 RERAScrapper - INFO - Project Land Owner Details 'project_land_owner_details' scrapped.
[ 2025-06-25 13:54:25,512 ] 192 RERAScrapper - INFO - RERA Registration Details with any other State/UTs 'rera_registration_details_with_any_details' scrapped.
[ 2025-06-25 13:54:25,555 ] 198 RERAScrapper - INFO - Previous Project Details (Last 5 years only) 'previous_project_details' scrapped.
[ 2025-06-25 13:54:25,594 ] 207 RERAScrapper - INFO - Project Details page clicked.
[ 2025-06-25 13:54:27,300 ] 214 RERAScrapper - INFO - Project Details 'project_details' scrapped.
[ 2025-06-25 13:54:27,637 ] 220 RERAScrapper - INFO - Development Details 'development_details' scrapped.
[ 2025-06-25 13:54:28,236 ] 226 RERAScrapper - INFO - External Development Work 'external_development_work' scrapped.
[ 2025-06-25 13:54:28,279 ] 232 RERAScrapper - INFO - Other External Development Work 'other_external_development_work' scrapped.
[ 2025-06-25 13:54:28,691 ] 238 RERAScrapper - INFO - Project Bank ( Escrow Account ) Details 'project_bank_details' scrapped.
[ 2025-06-25 13:54:28,741 ] 244 RERAScrapper - INFO - Project Agents 'project_agents' scrapped.
[ 2025-06-25 13:54:28,749 ] 251 RERAScrapper - INFO - Project Detail Table 'project_detail_table' scrapped.
[ 2025-06-25 13:54:28,788 ] 260 RERAScrapper - INFO - Uploaded Documents page clicked.
[ 2025-06-25 13:54:28,914 ] 267 RERAScrapper - INFO - Project Documents 'project_documents' scrapped.
[ 2025-06-25 13:54:32,084 ] 273 RERAScrapper - INFO - Project Approval 'project_approval' scrapped.
[ 2025-06-25 13:54:32,202 ] 279 RERAScrapper - INFO - Declaration 'declaration' scrapped.
[ 2025-06-25 13:54:32,244 ] 285 RERAScrapper - INFO - Other Documents 'other_documents' scrapped.
[ 2025-06-25 13:54:32,370 ] 291 RERAScrapper - INFO - Project Photo 'project_photo' scrapped.
[ 2025-06-25 13:54:32,379 ] 297 RERAScrapper - INFO - Financial Document 'financial_document' scrapped.
[ 2025-06-25 13:54:32,417 ] 306 RERAScrapper - INFO - Uploaded Complaint page clicked.
[ 2025-06-25 13:54:32,453 ] 335 RERAScrapper - INFO - Completion Details page clicked.
[ 2025-06-25 13:54:35,627 ] 344 RERAScrapper - INFO - Completion Details 'completion_details' scrapped.
[ 2025-06-25 13:54:35,636 ] 352 RERAScrapper - WARNING - Development Details 'development_details_completion' **not** scrapped.
[ 2025-06-25 13:54:35,645 ] 358 RERAScrapper - WARNING - Uploaded Documents 'uploaded_documents' **not** scrapped.
[ 2025-06-25 13:54:35,655 ] 364 RERAScrapper - WARNING - Photos Uploaded 'photos_uploaded' **not** scrapped.
[ 2025-06-25 13:54:39,725 ] 435 RERAScrapper - INFO - Project Details Page Detected.
[ 2025-06-25 13:54:41,780 ] 443 RERAScrapper - WARNING - Table Disappeared
[ 2025-06-25 13:54:41,982 ] 82 RERAScrapper - INFO - City 'Vijayapura' selected from dropdown.
[ 2025-06-25 13:54:43,031 ] 89 RERAScrapper - INFO - Select Button Clicked.
