[ 2025-06-16 17:55:58,572 ] 61 RERAScrapper - INFO - Browser initialized successfully.
[ 2025-06-16 17:56:07,908 ] 69 RERAScrapper - INFO - Navigated to URL: https://rera.karnataka.gov.in/viewAllProjects
[ 2025-06-16 17:56:11,958 ] 82 RERAScrapper - INFO - City 'Vijayapura' selected from dropdown.
[ 2025-06-16 17:57:26,616 ] 100 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-16 17:57:29,838 ] 123 RERAScrapper - INFO - Promoter Details 'promoter_details' scrapped.
[ 2025-06-16 17:57:29,838 ] 124 RERAScrapper - INFO - Authorized Signatory Detail 'authorized_signatory_details' scrapped.
[ 2025-06-16 17:57:29,839 ] 125 RERAScrapper - INFO - Project Member Details 'project_member_details' scrapped.
[ 2025-06-16 17:57:29,839 ] 126 RERAScrapper - INFO - Project Land Owner Details 'project_land_owner_details' scrapped.
[ 2025-06-16 17:57:29,839 ] 127 RERAScrapper - INFO - RERA Registration Details with any other State/UTs 'rera_registration_details_with_any_details' scrapped.
[ 2025-06-16 17:57:29,839 ] 128 RERAScrapper - INFO - Previous Project Details (Last 5 years only) 'previous_project_details' scrapped.
[ 2025-06-16 17:57:31,888 ] 137 RERAScrapper - INFO - Project Details page clicked.
[ 2025-06-16 17:57:33,463 ] 151 RERAScrapper - INFO - Project Details 'project_details' scrapped.
[ 2025-06-16 17:57:33,463 ] 152 RERAScrapper - INFO - Development Details 'development_details' scrapped.
[ 2025-06-16 17:57:33,463 ] 153 RERAScrapper - INFO - External Development Work 'external_development_work' scrapped.
[ 2025-06-16 17:57:33,464 ] 154 RERAScrapper - INFO - Other External Development Work 'other_external_development_work' scrapped.
[ 2025-06-16 17:57:33,464 ] 155 RERAScrapper - INFO - Project Bank ( Escrow Account ) Details 'project_bank_details' scrapped.
[ 2025-06-16 17:57:33,464 ] 156 RERAScrapper - INFO - Project Agents 'project_agents' scrapped.
[ 2025-06-16 17:57:33,464 ] 157 RERAScrapper - INFO - Project Detail Table 'project_detail_table' scrapped.
[ 2025-06-16 17:57:33,498 ] 164 RERAScrapper - INFO - Uploaded Documents page clicked.
[ 2025-06-16 17:57:37,614 ] 179 RERAScrapper - INFO - Project Documents 'project_documents' scrapped.
[ 2025-06-16 17:57:37,614 ] 180 RERAScrapper - INFO - Project Approval 'project_approval' scrapped.
[ 2025-06-16 17:57:37,614 ] 181 RERAScrapper - INFO - Declaration 'declaration' scrapped.
[ 2025-06-16 17:57:37,614 ] 182 RERAScrapper - INFO - Other Documents 'other_documents' scrapped.
[ 2025-06-16 17:57:37,615 ] 183 RERAScrapper - INFO - Project Photo 'project_photo' scrapped.
[ 2025-06-16 17:57:37,615 ] 184 RERAScrapper - INFO - Financial Document 'financial_document' scrapped.
[ 2025-06-16 17:57:37,653 ] 193 RERAScrapper - INFO - Completion Details page clicked.
