[ 2025-06-16 18:01:45,145 ] 61 RERAScrapper - INFO - Browser initialized successfully.
[ 2025-06-16 18:01:50,272 ] 69 RERAScrapper - INFO - Navigated to URL: https://rera.karnataka.gov.in/viewAllProjects
[ 2025-06-16 18:01:53,741 ] 82 RERAScrapper - INFO - City 'Vijayapura' selected from dropdown.
[ 2025-06-16 18:02:07,602 ] 100 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-16 18:02:10,655 ] 123 RERAScrapper - INFO - Promoter Details 'promoter_details' scrapped.
[ 2025-06-16 18:02:10,655 ] 124 RERAScrapper - INFO - Authorized Signatory Detail 'authorized_signatory_details' scrapped.
[ 2025-06-16 18:02:10,655 ] 125 RERAScrapper - INFO - Project Member Details 'project_member_details' scrapped.
[ 2025-06-16 18:02:10,655 ] 126 RERAScrapper - INFO - Project Land Owner Details 'project_land_owner_details' scrapped.
[ 2025-06-16 18:02:10,655 ] 127 RERAScrapper - INFO - RERA Registration Details with any other State/UTs 'rera_registration_details_with_any_details' scrapped.
[ 2025-06-16 18:02:10,656 ] 128 RERAScrapper - INFO - Previous Project Details (Last 5 years only) 'previous_project_details' scrapped.
[ 2025-06-16 18:02:12,693 ] 137 RERAScrapper - INFO - Project Details page clicked.
[ 2025-06-16 18:02:14,162 ] 151 RERAScrapper - INFO - Project Details 'project_details' scrapped.
[ 2025-06-16 18:02:14,163 ] 152 RERAScrapper - INFO - Development Details 'development_details' scrapped.
[ 2025-06-16 18:02:14,163 ] 153 RERAScrapper - INFO - External Development Work 'external_development_work' scrapped.
[ 2025-06-16 18:02:14,163 ] 154 RERAScrapper - INFO - Other External Development Work 'other_external_development_work' scrapped.
[ 2025-06-16 18:02:14,163 ] 155 RERAScrapper - INFO - Project Bank ( Escrow Account ) Details 'project_bank_details' scrapped.
[ 2025-06-16 18:02:14,163 ] 156 RERAScrapper - INFO - Project Agents 'project_agents' scrapped.
[ 2025-06-16 18:02:14,163 ] 157 RERAScrapper - INFO - Project Detail Table 'project_detail_table' scrapped.
[ 2025-06-16 18:02:14,199 ] 164 RERAScrapper - INFO - Uploaded Documents page clicked.
[ 2025-06-16 18:02:18,170 ] 179 RERAScrapper - INFO - Project Documents 'project_documents' scrapped.
[ 2025-06-16 18:02:18,170 ] 180 RERAScrapper - INFO - Project Approval 'project_approval' scrapped.
[ 2025-06-16 18:02:18,171 ] 181 RERAScrapper - INFO - Declaration 'declaration' scrapped.
[ 2025-06-16 18:02:18,171 ] 182 RERAScrapper - INFO - Other Documents 'other_documents' scrapped.
[ 2025-06-16 18:02:18,171 ] 183 RERAScrapper - INFO - Project Photo 'project_photo' scrapped.
[ 2025-06-16 18:02:18,171 ] 184 RERAScrapper - INFO - Financial Document 'financial_document' scrapped.
[ 2025-06-16 18:02:18,209 ] 193 RERAScrapper - INFO - Completion Details page clicked.
